"Time (CET)","Day-ahead Total Load Forecast [MW] - CTA|BE","Actual Total Load [MW] - CTA|BE"
"25.09.2019 07:45 - 25.09.2019 08:00","10414","10271"
"25.09.2019 08:00 - 25.09.2019 08:15","10468","10351"
"25.09.2019 08:15 - 25.09.2019 08:30","10521","10443"
"25.09.2019 08:30 - 25.09.2019 08:45","10613","10457"
"25.09.2019 08:45 - 25.09.2019 09:00","10688","10527"
"25.09.2019 09:00 - 25.09.2019 09:15","10778","10567"
"25.09.2019 09:15 - 25.09.2019 09:30","10823","10502"
"25.09.2019 09:30 - 25.09.2019 09:45","10842","10707"
"25.09.2019 09:45 - 25.09.2019 10:00","10851","10734"
"25.09.2019 10:00 - 25.09.2019 10:15","10834","10510"
"25.09.2019 10:15 - 25.09.2019 10:30","10807","10416"
"25.09.2019 10:30 - 25.09.2019 10:45","10817","10461"
"25.09.2019 10:45 - 25.09.2019 11:00","10843","10570"
"25.09.2019 11:00 - 25.09.2019 11:15","10877","10462"
"25.09.2019 11:15 - 25.09.2019 11:30","10913","10548"
"25.09.2019 11:30 - 25.09.2019 11:45","10933","10627"
"25.09.2019 11:45 - 25.09.2019 12:00","10942","10596"
"25.09.2019 12:00 - 25.09.2019 12:15","10794","10507"
"25.09.2019 12:15 - 25.09.2019 12:30","10688","10396"
"25.09.2019 12:30 - 25.09.2019 12:45","10674","10421"
"25.09.2019 12:45 - 25.09.2019 13:00","10686","10381"
"25.09.2019 13:00 - 25.09.2019 13:15","10699","10400"
"25.09.2019 13:15 - 25.09.2019 13:30","10670","10428"
"25.09.2019 13:30 - 25.09.2019 13:45","10640","10387"
"25.09.2019 13:45 - 25.09.2019 14:00","10581","10296"
"25.09.2019 14:00 - 25.09.2019 14:15","10546","10289"
"25.09.2019 14:15 - 25.09.2019 14:30","10500","10344"
"25.09.2019 14:30 - 25.09.2019 14:45","10492","10367"
"25.09.2019 14:45 - 25.09.2019 15:00","10467","10392"
"25.09.2019 15:00 - 25.09.2019 15:15","10556","10372"
"25.09.2019 15:15 - 25.09.2019 15:30","10503","10383"
"25.09.2019 15:30 - 25.09.2019 15:45","10472","10483"
"25.09.2019 15:45 - 25.09.2019 16:00","10471","10452"
"25.09.2019 16:00 - 25.09.2019 16:15","10509","10324"
"25.09.2019 16:15 - 25.09.2019 16:30","10488","10262"
"25.09.2019 16:30 - 25.09.2019 16:45","10477","10288"
"25.09.2019 16:45 - 25.09.2019 17:00","10527","10392"
"25.09.2019 17:00 - 25.09.2019 17:15","10598","10462"
"25.09.2019 17:15 - 25.09.2019 17:30","10631","10483"
"25.09.2019 17:30 - 25.09.2019 17:45","10712","10550"
"25.09.2019 17:45 - 25.09.2019 18:00","10726","10656"
"25.09.2019 18:00 - 25.09.2019 18:15","10736","10597"
"25.09.2019 18:15 - 25.09.2019 18:30","10703","10453"
"25.09.2019 18:30 - 25.09.2019 18:45","10708","10468"
"25.09.2019 18:45 - 25.09.2019 19:00","10671","10483"
"25.09.2019 19:00 - 25.09.2019 19:15","10695","10313"
"25.09.2019 19:15 - 25.09.2019 19:30","10577","10281"
"25.09.2019 19:30 - 25.09.2019 19:45","10548","10352"
"25.09.2019 19:45 - 25.09.2019 20:00","10570","10542"
"25.09.2019 20:00 - 25.09.2019 20:15","10662","10647"
"25.09.2019 20:15 - 25.09.2019 20:30","10693","10468"
"25.09.2019 20:30 - 25.09.2019 20:45","10676","10349"
"25.09.2019 20:45 - 25.09.2019 21:00","10570","10191"
"25.09.2019 21:00 - 25.09.2019 21:15","10287","9994"
"25.09.2019 21:15 - 25.09.2019 21:30","10143","9834"
"25.09.2019 21:30 - 25.09.2019 21:45","10008","9703"
"25.09.2019 21:45 - 25.09.2019 22:00","9868","9533"
"25.09.2019 22:00 - 25.09.2019 22:15","9718","9535"
"25.09.2019 22:15 - 25.09.2019 22:30","9671","9560"
"25.09.2019 22:30 - 25.09.2019 22:45","9637","9498"
"25.09.2019 22:45 - 25.09.2019 23:00","9529","9324"
"25.09.2019 23:00 - 25.09.2019 23:15","9375","9305"
"25.09.2019 23:15 - 25.09.2019 23:30","9238","9150"
"25.09.2019 23:30 - 25.09.2019 23:45","9048","8958"
"25.09.2019 23:45 - 26.09.2019 00:00","8918","8835"
"26.09.2019 00:00 - 26.09.2019 00:15","8504","8665"
"26.09.2019 00:15 - 26.09.2019 00:30","8382","8665"
"26.09.2019 00:30 - 26.09.2019 00:45","8284","8407"
"26.09.2019 00:45 - 26.09.2019 01:00","8171","8291"
"26.09.2019 01:00 - 26.09.2019 01:15","8107","8269"
"26.09.2019 01:15 - 26.09.2019 01:30","8056","8133"
"26.09.2019 01:30 - 26.09.2019 01:45","7995","8052"
"26.09.2019 01:45 - 26.09.2019 02:00","7926","7968"
"26.09.2019 02:00 - 26.09.2019 02:15","7859","7922"
"26.09.2019 02:15 - 26.09.2019 02:30","7811","7817"
"26.09.2019 02:30 - 26.09.2019 02:45","7802","7882"
"26.09.2019 02:45 - 26.09.2019 03:00","7760","7825"
"26.09.2019 03:00 - 26.09.2019 03:15","7741","7763"
"26.09.2019 03:15 - 26.09.2019 03:30","7701","7584"
"26.09.2019 03:30 - 26.09.2019 03:45","7721","7681"
"26.09.2019 03:45 - 26.09.2019 04:00","7725","7689"
"26.09.2019 04:00 - 26.09.2019 04:15","7785","7689"
"26.09.2019 04:15 - 26.09.2019 04:30","7825","7582"
"26.09.2019 04:30 - 26.09.2019 04:45","7843","7756"
"26.09.2019 04:45 - 26.09.2019 05:00","7911","7887"
"26.09.2019 05:00 - 26.09.2019 05:15","8177","7776"
"26.09.2019 05:15 - 26.09.2019 05:30","8225","8052"
"26.09.2019 05:30 - 26.09.2019 05:45","8384","8246"
"26.09.2019 05:45 - 26.09.2019 06:00","8574","8479"
"26.09.2019 06:00 - 26.09.2019 06:15","8952","8688"
"26.09.2019 06:15 - 26.09.2019 06:30","9245","9014"
"26.09.2019 06:30 - 26.09.2019 06:45","9517","9378"
"26.09.2019 06:45 - 26.09.2019 07:00","9740","9563"
"26.09.2019 07:00 - 26.09.2019 07:15","10119","9947"
"26.09.2019 07:15 - 26.09.2019 07:30","10200","10083"
"26.09.2019 07:30 - 26.09.2019 07:45","10305","10194"
"26.09.2019 07:45 - 26.09.2019 08:00","10430","10110"
"26.09.2019 08:00 - 26.09.2019 08:15","10399","10307"
"26.09.2019 08:15 - 26.09.2019 08:30","10448","10381"
"26.09.2019 08:30 - 26.09.2019 08:45","10548","10582"
"26.09.2019 08:45 - 26.09.2019 09:00","10618","10662"
"26.09.2019 09:00 - 26.09.2019 09:15","10619","10689"
"26.09.2019 09:15 - 26.09.2019 09:30","10674","10674"
"26.09.2019 09:30 - 26.09.2019 09:45","10686","10782"
"26.09.2019 09:45 - 26.09.2019 10:00","10698","10865"
"26.09.2019 10:00 - 26.09.2019 10:15","10659","10752"
"26.09.2019 10:15 - 26.09.2019 10:30","10646","10759"
"26.09.2019 10:30 - 26.09.2019 10:45","10659","10801"
"26.09.2019 10:45 - 26.09.2019 11:00","10684","10925"
"26.09.2019 11:00 - 26.09.2019 11:15","10712","10889"
"26.09.2019 11:15 - 26.09.2019 11:30","10733","10967"
"26.09.2019 11:30 - 26.09.2019 11:45","10751","11055"
"26.09.2019 11:45 - 26.09.2019 12:00","10756","11099"
"26.09.2019 12:00 - 26.09.2019 12:15","10584","10883"
"26.09.2019 12:15 - 26.09.2019 12:30","10481","10800"
"26.09.2019 12:30 - 26.09.2019 12:45","10472","10789"
"26.09.2019 12:45 - 26.09.2019 13:00","10481","10746"
"26.09.2019 13:00 - 26.09.2019 13:15","10563","10714"
"26.09.2019 13:15 - 26.09.2019 13:30","10533","10669"
"26.09.2019 13:30 - 26.09.2019 13:45","10498","10612"
"26.09.2019 13:45 - 26.09.2019 14:00","10435","10626"
"26.09.2019 14:00 - 26.09.2019 14:15","10455","10600"
"26.09.2019 14:15 - 26.09.2019 14:30","10416","10537"
"26.09.2019 14:30 - 26.09.2019 14:45","10418","10497"
"26.09.2019 14:45 - 26.09.2019 15:00","10399","10546"
"26.09.2019 15:00 - 26.09.2019 15:15","10420","10596"
"26.09.2019 15:15 - 26.09.2019 15:30","10373","10485"
"26.09.2019 15:30 - 26.09.2019 15:45","10335","10582"
"26.09.2019 15:45 - 26.09.2019 16:00","10323","10482"
"26.09.2019 16:00 - 26.09.2019 16:15","10389","10470"
"26.09.2019 16:15 - 26.09.2019 16:30","10371","10475"
"26.09.2019 16:30 - 26.09.2019 16:45","10358","10500"
"26.09.2019 16:45 - 26.09.2019 17:00","10413","10512"
"26.09.2019 17:00 - 26.09.2019 17:15","10509","10426"
"26.09.2019 17:15 - 26.09.2019 17:30","10535","10271"
"26.09.2019 17:30 - 26.09.2019 17:45","10636","10381"
"26.09.2019 17:45 - 26.09.2019 18:00","10653","10405"
"26.09.2019 18:00 - 26.09.2019 18:15","10684","10454"
"26.09.2019 18:15 - 26.09.2019 18:30","10650","10384"
"26.09.2019 18:30 - 26.09.2019 18:45","10660","10340"
"26.09.2019 18:45 - 26.09.2019 19:00","10626","10337"
"26.09.2019 19:00 - 26.09.2019 19:15","10681","10290"
"26.09.2019 19:15 - 26.09.2019 19:30","10560","10091"
"26.09.2019 19:30 - 26.09.2019 19:45","10554","10239"
"26.09.2019 19:45 - 26.09.2019 20:00","10587","10324"
"26.09.2019 20:00 - 26.09.2019 20:15","10646","10273"
"26.09.2019 20:15 - 26.09.2019 20:30","10669","10162"
"26.09.2019 20:30 - 26.09.2019 20:45","10635","10059"
"26.09.2019 20:45 - 26.09.2019 21:00","10503","9844"
"26.09.2019 21:00 - 26.09.2019 21:15","10277","9840"
"26.09.2019 21:15 - 26.09.2019 21:30","10131","9764"
"26.09.2019 21:30 - 26.09.2019 21:45","10003","9579"
"26.09.2019 21:45 - 26.09.2019 22:00","9853","9438"
"26.09.2019 22:00 - 26.09.2019 22:15","9783","9374"
"26.09.2019 22:15 - 26.09.2019 22:30","9739","9462"
"26.09.2019 22:30 - 26.09.2019 22:45","9705","9354"
"26.09.2019 22:45 - 26.09.2019 23:00","9591","9161"
"26.09.2019 23:00 - 26.09.2019 23:15","9455","9104"
"26.09.2019 23:15 - 26.09.2019 23:30","9305","9018"
"26.09.2019 23:30 - 26.09.2019 23:45","9122","8858"
"26.09.2019 23:45 - 27.09.2019 00:00","8989","8787"
"27.09.2019 00:00 - 27.09.2019 00:15","8768","8534"
"27.09.2019 00:15 - 27.09.2019 00:30","8654","8415"
"27.09.2019 00:30 - 27.09.2019 00:45","8535","8243"
"27.09.2019 00:45 - 27.09.2019 01:00","8417","8155"
"27.09.2019 01:00 - 27.09.2019 01:15","8309","8131"
"27.09.2019 01:15 - 27.09.2019 01:30","8251","8074"
"27.09.2019 01:30 - 27.09.2019 01:45","8190","7862"
"27.09.2019 01:45 - 27.09.2019 02:00","8118","7846"
"27.09.2019 02:00 - 27.09.2019 02:15","8062","7891"
"27.09.2019 02:15 - 27.09.2019 02:30","8017","7829"
"27.09.2019 02:30 - 27.09.2019 02:45","7992","7864"
"27.09.2019 02:45 - 27.09.2019 03:00","7961","7827"
"27.09.2019 03:00 - 27.09.2019 03:15","7926","7812"
"27.09.2019 03:15 - 27.09.2019 03:30","7860","7691"
"27.09.2019 03:30 - 27.09.2019 03:45","7920","7614"
"27.09.2019 03:45 - 27.09.2019 04:00","7923","7626"
"27.09.2019 04:00 - 27.09.2019 04:15","7841","7509"
"27.09.2019 04:15 - 27.09.2019 04:30","7890","7791"
"27.09.2019 04:30 - 27.09.2019 04:45","7911","7853"
"27.09.2019 04:45 - 27.09.2019 05:00","7967","7868"
"27.09.2019 05:00 - 27.09.2019 05:15","8205","7871"
"27.09.2019 05:15 - 27.09.2019 05:30","8267","8178"
"27.09.2019 05:30 - 27.09.2019 05:45","8431","8154"
"27.09.2019 05:45 - 27.09.2019 06:00","8593","8511"
"27.09.2019 06:00 - 27.09.2019 06:15","8995","8964"
"27.09.2019 06:15 - 27.09.2019 06:30","9304","8865"
"27.09.2019 06:30 - 27.09.2019 06:45","9558","9349"
"27.09.2019 06:45 - 27.09.2019 07:00","9791","9444"
"27.09.2019 07:00 - 27.09.2019 07:15","10149","9984"
"27.09.2019 07:15 - 27.09.2019 07:30","10242","10289"
"27.09.2019 07:30 - 27.09.2019 07:45","10336","9925"
"27.09.2019 07:45 - 27.09.2019 08:00","10452","10021"
"27.09.2019 08:00 - 27.09.2019 08:15","10514","10150"
"27.09.2019 08:15 - 27.09.2019 08:30","10567","10184"
"27.09.2019 08:30 - 27.09.2019 08:45","10659","10328"
"27.09.2019 08:45 - 27.09.2019 09:00","10730","10419"
"27.09.2019 09:00 - 27.09.2019 09:15","10821","10481"
"27.09.2019 09:15 - 27.09.2019 09:30","10862","10557"
"27.09.2019 09:30 - 27.09.2019 09:45","10897","10498"
"27.09.2019 09:45 - 27.09.2019 10:00","10911","10573"
"27.09.2019 10:00 - 27.09.2019 10:15","10858","10436"
"27.09.2019 10:15 - 27.09.2019 10:30","10834","10320"
"27.09.2019 10:30 - 27.09.2019 10:45","10850","10679"
"27.09.2019 10:45 - 27.09.2019 11:00","10886","10464"
"27.09.2019 11:00 - 27.09.2019 11:15","10874","10449"
"27.09.2019 11:15 - 27.09.2019 11:30","10904","10533"
"27.09.2019 11:30 - 27.09.2019 11:45","10929","10757"
"27.09.2019 11:45 - 27.09.2019 12:00","10929","10657"
"27.09.2019 12:00 - 27.09.2019 12:15","10695","10426"
"27.09.2019 12:15 - 27.09.2019 12:30","10589","10218"
"27.09.2019 12:30 - 27.09.2019 12:45","10585","10208"
"27.09.2019 12:45 - 27.09.2019 13:00","10589","10309"
"27.09.2019 13:00 - 27.09.2019 13:15","10625","10349"
"27.09.2019 13:15 - 27.09.2019 13:30","10602","10102"
"27.09.2019 13:30 - 27.09.2019 13:45","10568","10193"
"27.09.2019 13:45 - 27.09.2019 14:00","10502","10164"
"27.09.2019 14:00 - 27.09.2019 14:15","10412","9969"
"27.09.2019 14:15 - 27.09.2019 14:30","10381","9984"
"27.09.2019 14:30 - 27.09.2019 14:45","10386","9939"
"27.09.2019 14:45 - 27.09.2019 15:00","10371","9988"
"27.09.2019 15:00 - 27.09.2019 15:15","10285","9988"
"27.09.2019 15:15 - 27.09.2019 15:30","10246","9912"
"27.09.2019 15:30 - 27.09.2019 15:45","10224","9804"
"27.09.2019 15:45 - 27.09.2019 16:00","10209","9743"
"27.09.2019 16:00 - 27.09.2019 16:15","10187","9702"
"27.09.2019 16:15 - 27.09.2019 16:30","10164","9826"
"27.09.2019 16:30 - 27.09.2019 16:45","10156","9958"
"27.09.2019 16:45 - 27.09.2019 17:00","10214","9760"
"27.09.2019 17:00 - 27.09.2019 17:15","10255","9920"
"27.09.2019 17:15 - 27.09.2019 17:30","10281","9918"
"27.09.2019 17:30 - 27.09.2019 17:45","10377","9950"
"27.09.2019 17:45 - 27.09.2019 18:00","10406","10023"
"27.09.2019 18:00 - 27.09.2019 18:15","10314","9817"
"27.09.2019 18:15 - 27.09.2019 18:30","10268","9833"
"27.09.2019 18:30 - 27.09.2019 18:45","10279","9965"
"27.09.2019 18:45 - 27.09.2019 19:00","10254","9780"
"27.09.2019 19:00 - 27.09.2019 19:15","10276","9747"
"27.09.2019 19:15 - 27.09.2019 19:30","10173","9674"
"27.09.2019 19:30 - 27.09.2019 19:45","10175","9805"
"27.09.2019 19:45 - 27.09.2019 20:00","10223","10042"
"27.09.2019 20:00 - 27.09.2019 20:15","10225","9994"
"27.09.2019 20:15 - 27.09.2019 20:30","10223","9871"
"27.09.2019 20:30 - 27.09.2019 20:45","10181","9756"
"27.09.2019 20:45 - 27.09.2019 21:00","10054","9579"
"27.09.2019 21:00 - 27.09.2019 21:15","9926","9421"
"27.09.2019 21:15 - 27.09.2019 21:30","9785","9296"
"27.09.2019 21:30 - 27.09.2019 21:45","9663","9168"
"27.09.2019 21:45 - 27.09.2019 22:00","9516","9026"
"27.09.2019 22:00 - 27.09.2019 22:15","9545","8981"
"27.09.2019 22:15 - 27.09.2019 22:30","9506","8831"
"27.09.2019 22:30 - 27.09.2019 22:45","9468","8741"
"27.09.2019 22:45 - 27.09.2019 23:00","9346","8725"
"27.09.2019 23:00 - 27.09.2019 23:15","9299","8655"
"27.09.2019 23:15 - 27.09.2019 23:30","9151","8483"
"27.09.2019 23:30 - 27.09.2019 23:45","8968","8342"
"27.09.2019 23:45 - 28.09.2019 00:00","8837","8240"
"28.09.2019 00:00 - 28.09.2019 00:15","8406","8119"
"28.09.2019 00:15 - 28.09.2019 00:30","8293","8015"
"28.09.2019 00:30 - 28.09.2019 00:45","8171","7879"
"28.09.2019 00:45 - 28.09.2019 01:00","8060","7708"
"28.09.2019 01:00 - 28.09.2019 01:15","7965","7568"
"28.09.2019 01:15 - 28.09.2019 01:30","7913","7485"
"28.09.2019 01:30 - 28.09.2019 01:45","7836","7409"
"28.09.2019 01:45 - 28.09.2019 02:00","7773","7329"
"28.09.2019 02:00 - 28.09.2019 02:15","7690","7256"
"28.09.2019 02:15 - 28.09.2019 02:30","7612","7190"
"28.09.2019 02:30 - 28.09.2019 02:45","7575","7197"
"28.09.2019 02:45 - 28.09.2019 03:00","7558","7222"
"28.09.2019 03:00 - 28.09.2019 03:15","7467","7173"
"28.09.2019 03:15 - 28.09.2019 03:30","7420","7243"
"28.09.2019 03:30 - 28.09.2019 03:45","7396","7129"
"28.09.2019 03:45 - 28.09.2019 04:00","7354","7110"
"28.09.2019 04:00 - 28.09.2019 04:15","7374","7168"
"28.09.2019 04:15 - 28.09.2019 04:30","7364","7136"
"28.09.2019 04:30 - 28.09.2019 04:45","7301","7076"
"28.09.2019 04:45 - 28.09.2019 05:00","7335","7064"
"28.09.2019 05:00 - 28.09.2019 05:15","7297","7045"
"28.09.2019 05:15 - 28.09.2019 05:30","7312","7056"
"28.09.2019 05:30 - 28.09.2019 05:45","7353","7074"
"28.09.2019 05:45 - 28.09.2019 06:00","7397","7014"
"28.09.2019 06:00 - 28.09.2019 06:15","7534","7083"
"28.09.2019 06:15 - 28.09.2019 06:30","7636","7340"
"28.09.2019 06:30 - 28.09.2019 06:45","7700","7635"
"28.09.2019 06:45 - 28.09.2019 07:00","7732","7599"
"28.09.2019 07:00 - 28.09.2019 07:15","7961","7610"
"28.09.2019 07:15 - 28.09.2019 07:30","8021","7776"
"28.09.2019 07:30 - 28.09.2019 07:45","8078","7969"
"28.09.2019 07:45 - 28.09.2019 08:00","8176","7889"
"28.09.2019 08:00 - 28.09.2019 08:15","8418","7990"
"28.09.2019 08:15 - 28.09.2019 08:30","8494","8148"
"28.09.2019 08:30 - 28.09.2019 08:45","8703","8354"
"28.09.2019 08:45 - 28.09.2019 09:00","8763","8504"
"28.09.2019 09:00 - 28.09.2019 09:15","8928","8690"
"28.09.2019 09:15 - 28.09.2019 09:30","9046","8738"
"28.09.2019 09:30 - 28.09.2019 09:45","9165","8853"
"28.09.2019 09:45 - 28.09.2019 10:00","9206","8993"
"28.09.2019 10:00 - 28.09.2019 10:15","9204","9015"
"28.09.2019 10:15 - 28.09.2019 10:30","9208","9122"
"28.09.2019 10:30 - 28.09.2019 10:45","9193","9031"
"28.09.2019 10:45 - 28.09.2019 11:00","9204","8936"
"28.09.2019 11:00 - 28.09.2019 11:15","9218","8868"
"28.09.2019 11:15 - 28.09.2019 11:30","9225","8956"
"28.09.2019 11:30 - 28.09.2019 11:45","9319","9023"
"28.09.2019 11:45 - 28.09.2019 12:00","9328","9040"
"28.09.2019 12:00 - 28.09.2019 12:15","9301","9003"
"28.09.2019 12:15 - 28.09.2019 12:30","9182","9038"
"28.09.2019 12:30 - 28.09.2019 12:45","9113","9053"
"28.09.2019 12:45 - 28.09.2019 13:00","9102","8968"
"28.09.2019 13:00 - 28.09.2019 13:15","9069","8947"
"28.09.2019 13:15 - 28.09.2019 13:30","9079","9013"
"28.09.2019 13:30 - 28.09.2019 13:45","9010","8899"
"28.09.2019 13:45 - 28.09.2019 14:00","8988","8885"
"28.09.2019 14:00 - 28.09.2019 14:15","8886","8789"
"28.09.2019 14:15 - 28.09.2019 14:30","8854","8824"
"28.09.2019 14:30 - 28.09.2019 14:45","8816","8777"
"28.09.2019 14:45 - 28.09.2019 15:00","8728","8708"
"28.09.2019 15:00 - 28.09.2019 15:15","8734","8754"
"28.09.2019 15:15 - 28.09.2019 15:30","8697","8619"
"28.09.2019 15:30 - 28.09.2019 15:45","8758","8499"
"28.09.2019 15:45 - 28.09.2019 16:00","8789","8473"
"28.09.2019 16:00 - 28.09.2019 16:15","8753","8630"
"28.09.2019 16:15 - 28.09.2019 16:30","8787","8691"
"28.09.2019 16:30 - 28.09.2019 16:45","8780","8542"
"28.09.2019 16:45 - 28.09.2019 17:00","8822","8643"
"28.09.2019 17:00 - 28.09.2019 17:15","8810","8630"
"28.09.2019 17:15 - 28.09.2019 17:30","8866","8786"
"28.09.2019 17:30 - 28.09.2019 17:45","8937","8936"
"28.09.2019 17:45 - 28.09.2019 18:00","8969","9048"
"28.09.2019 18:00 - 28.09.2019 18:15","9060","9097"
"28.09.2019 18:15 - 28.09.2019 18:30","9007","9030"
"28.09.2019 18:30 - 28.09.2019 18:45","9036","9086"
"28.09.2019 18:45 - 28.09.2019 19:00","9073","9104"
"28.09.2019 19:00 - 28.09.2019 19:15","9141","9129"
"28.09.2019 19:15 - 28.09.2019 19:30","9075","9092"
"28.09.2019 19:30 - 28.09.2019 19:45","9024","9209"
"28.09.2019 19:45 - 28.09.2019 20:00","8972","9297"
"28.09.2019 20:00 - 28.09.2019 20:15","9107","9252"
"28.09.2019 20:15 - 28.09.2019 20:30","9077","9101"
"28.09.2019 20:30 - 28.09.2019 20:45","9106","9061"
"28.09.2019 20:45 - 28.09.2019 21:00","9111","8999"
"28.09.2019 21:00 - 28.09.2019 21:15","8918","8948"
"28.09.2019 21:15 - 28.09.2019 21:30","8899","8908"
"28.09.2019 21:30 - 28.09.2019 21:45","8805","8774"
"28.09.2019 21:45 - 28.09.2019 22:00","8673","8669"
"28.09.2019 22:00 - 28.09.2019 22:15","8679","8566"
"28.09.2019 22:15 - 28.09.2019 22:30","8689","8408"
"28.09.2019 22:30 - 28.09.2019 22:45","8662","8413"
"28.09.2019 22:45 - 28.09.2019 23:00","8563","8310"
"28.09.2019 23:00 - 28.09.2019 23:15","8512","8355"
"28.09.2019 23:15 - 28.09.2019 23:30","8340","8178"
"28.09.2019 23:30 - 28.09.2019 23:45","8260","8251"
"28.09.2019 23:45 - 29.09.2019 00:00","8184","8032"
"29.09.2019 00:00 - 29.09.2019 00:15","7684","7695"
"29.09.2019 00:15 - 29.09.2019 00:30","7584","7760"
"29.09.2019 00:30 - 29.09.2019 00:45","7531","7586"
"29.09.2019 00:45 - 29.09.2019 01:00","7484","7400"
"29.09.2019 01:00 - 29.09.2019 01:15","7335","7414"
"29.09.2019 01:15 - 29.09.2019 01:30","7237","7508"
"29.09.2019 01:30 - 29.09.2019 01:45","7109","7154"
"29.09.2019 01:45 - 29.09.2019 02:00","7095","6988"
"29.09.2019 02:00 - 29.09.2019 02:15","7020","6791"
"29.09.2019 02:15 - 29.09.2019 02:30","7002","6925"
"29.09.2019 02:30 - 29.09.2019 02:45","6998","6898"
"29.09.2019 02:45 - 29.09.2019 03:00","6945","6835"
"29.09.2019 03:00 - 29.09.2019 03:15","6947","6756"
"29.09.2019 03:15 - 29.09.2019 03:30","6876","6618"
"29.09.2019 03:30 - 29.09.2019 03:45","6801","6573"
"29.09.2019 03:45 - 29.09.2019 04:00","6809","6631"
"29.09.2019 04:00 - 29.09.2019 04:15","6861","6577"
"29.09.2019 04:15 - 29.09.2019 04:30","6832","6468"
"29.09.2019 04:30 - 29.09.2019 04:45","6842","6442"
"29.09.2019 04:45 - 29.09.2019 05:00","6818","6476"
"29.09.2019 05:00 - 29.09.2019 05:15","6865","6527"
"29.09.2019 05:15 - 29.09.2019 05:30","6876","6516"
"29.09.2019 05:30 - 29.09.2019 05:45","6921","6573"
"29.09.2019 05:45 - 29.09.2019 06:00","6920","6668"
"29.09.2019 06:00 - 29.09.2019 06:15","7025","6675"
"29.09.2019 06:15 - 29.09.2019 06:30","7091","6782"
"29.09.2019 06:30 - 29.09.2019 06:45","7153","6876"
"29.09.2019 06:45 - 29.09.2019 07:00","7232","6906"
"29.09.2019 07:00 - 29.09.2019 07:15","7351","6982"
"29.09.2019 07:15 - 29.09.2019 07:30","7296","7089"
"29.09.2019 07:30 - 29.09.2019 07:45","7341","7041"
"29.09.2019 07:45 - 29.09.2019 08:00","7371","7125"
"29.09.2019 08:00 - 29.09.2019 08:15","7578","7262"
"29.09.2019 08:15 - 29.09.2019 08:30","7677","7464"
"29.09.2019 08:30 - 29.09.2019 08:45","7847","7661"
"29.09.2019 08:45 - 29.09.2019 09:00","7892","7769"
"29.09.2019 09:00 - 29.09.2019 09:15","8071","7945"
"29.09.2019 09:15 - 29.09.2019 09:30","8188","8055"
"29.09.2019 09:30 - 29.09.2019 09:45","8253","8145"
"29.09.2019 09:45 - 29.09.2019 10:00","8319","8174"
"29.09.2019 10:00 - 29.09.2019 10:15","8448","8274"
"29.09.2019 10:15 - 29.09.2019 10:30","8548","8365"
"29.09.2019 10:30 - 29.09.2019 10:45","8625","8521"
"29.09.2019 10:45 - 29.09.2019 11:00","8600","8583"
"29.09.2019 11:00 - 29.09.2019 11:15","8688","8656"
"29.09.2019 11:15 - 29.09.2019 11:30","8755","8744"
"29.09.2019 11:30 - 29.09.2019 11:45","8757","8884"
"29.09.2019 11:45 - 29.09.2019 12:00","8823","8914"
"29.09.2019 12:00 - 29.09.2019 12:15","8837","8969"
"29.09.2019 12:15 - 29.09.2019 12:30","8820","8934"
"29.09.2019 12:30 - 29.09.2019 12:45","8778","8983"
"29.09.2019 12:45 - 29.09.2019 13:00","8694","8889"
"29.09.2019 13:00 - 29.09.2019 13:15","8655","8860"
"29.09.2019 13:15 - 29.09.2019 13:30","8589","8810"
"29.09.2019 13:30 - 29.09.2019 13:45","8518","8711"
"29.09.2019 13:45 - 29.09.2019 14:00","8376","8656"
"29.09.2019 14:00 - 29.09.2019 14:15","8372","8586"
"29.09.2019 14:15 - 29.09.2019 14:30","8339","8530"
"29.09.2019 14:30 - 29.09.2019 14:45","8307","8470"
"29.09.2019 14:45 - 29.09.2019 15:00","8290","8460"
"29.09.2019 15:00 - 29.09.2019 15:15","8316","8398"
"29.09.2019 15:15 - 29.09.2019 15:30","8265","8361"
"29.09.2019 15:30 - 29.09.2019 15:45","8251","8326"
"29.09.2019 15:45 - 29.09.2019 16:00","8227","8247"
"29.09.2019 16:00 - 29.09.2019 16:15","8285","8231"
"29.09.2019 16:15 - 29.09.2019 16:30","8328","8212"
"29.09.2019 16:30 - 29.09.2019 16:45","8262","8171"
"29.09.2019 16:45 - 29.09.2019 17:00","8197","8144"
"29.09.2019 17:00 - 29.09.2019 17:15","8361","8280"
"29.09.2019 17:15 - 29.09.2019 17:30","8593","8376"
"29.09.2019 17:30 - 29.09.2019 17:45","8663","8574"
"29.09.2019 17:45 - 29.09.2019 18:00","8716","8592"
"29.09.2019 18:00 - 29.09.2019 18:15","8871","8669"
"29.09.2019 18:15 - 29.09.2019 18:30","8919","8785"
"29.09.2019 18:30 - 29.09.2019 18:45","9033","8700"
"29.09.2019 18:45 - 29.09.2019 19:00","9036","8755"
"29.09.2019 19:00 - 29.09.2019 19:15","9107","8778"
"29.09.2019 19:15 - 29.09.2019 19:30","9189","8851"
"29.09.2019 19:30 - 29.09.2019 19:45","9256","9011"
"29.09.2019 19:45 - 29.09.2019 20:00","9325","9124"
"29.09.2019 20:00 - 29.09.2019 20:15","9482","9067"
"29.09.2019 20:15 - 29.09.2019 20:30","9399","9032"
